Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,Solution1DetailedStatistics,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,35,ModelResultImpl,1307,4483,172,20,164,(TransformationExecutionTime3|ForwardTime:54|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),85,3,2,0,0,8,0,1,54,54,8,4,5,0,53,0,53,30,0
1,36,ModelResultImpl,1307,4360,178,13,169,(TransformationExecutionTime4|ForwardTime:56|Backtrackingtime:1|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),85,4,1,0,0,9,0,1,55,56,10,4,5,0,54,0,54,30,0
1,37,ModelResultImpl,1307,4358,175,14,167,(TransformationExecutionTime4|ForwardTime:55|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),86,4,1,0,0,9,0,1,55,55,8,5,5,0,54,0,54,30,0
1,38,ModelResultImpl,1307,5142,399,13,391,(TransformationExecutionTime6|ForwardTime:60|Backtrackingtime:0|GlobalConstraintEvaluationTime:11|FitnessCalculationTime:17|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),288,6,2,0,0,6,0,1,35,60,9,11,17,0,34,0,34,30,0
1,39,ModelResultImpl,1307,4417,175,13,165,(TransformationExecutionTime4|ForwardTime:53|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),88,4,2,0,0,7,0,1,44,53,10,4,4,0,43,0,43,30,0
1,40,ModelResultImpl,1307,4448,185,16,177,(TransformationExecutionTime3|ForwardTime:53|Backtrackingtime:1|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),98,3,1,0,0,9,0,1,50,53,10,4,4,0,49,0,49,30,0
1,41,ModelResultImpl,1307,4391,168,12,160,(TransformationExecutionTime4|ForwardTime:51|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),84,4,1,0,0,7,0,2,45,51,9,4,4,0,44,0,44,30,0
1,42,ModelResultImpl,1307,4870,168,16,160,(TransformationExecutionTime3|ForwardTime:45|Backtrackingtime:0|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),93,3,2,0,0,5,0,1,36,45,7,5,5,0,35,0,35,30,0
1,43,ModelResultImpl,1307,6183,162,13,154,(TransformationExecutionTime3|ForwardTime:44|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),87,3,1,0,0,6,0,1,41,44,8,4,5,0,40,0,40,30,0
1,44,ModelResultImpl,1307,4513,156,12,149,(TransformationExecutionTime3|ForwardTime:38|Backtrackingtime:0|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:5|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),90,3,1,0,0,5,0,1,34,38,7,4,5,0,33,0,33,30,0
