NA,Model,VS-WF+All5-95,1.00000,2.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All5-96,2.00000,1.00000,1.00000,1.00000,2.00000
NA,Model,VS-WF+All5-97,5.00000,4.00000,2.00000,1.00000,1.00000
NA,Model,VS-WF+All5-98,1.00000,1.00000,2.00000,4.00000,5.00000
NA,Model,VS-WF+All5-99,1.00000,1.00000,1.00000,1.00000,2.00000
NA,NHLattice,VS-WF+All5-1,1.00000,1.00000,1.00000,1.00000,2.00000
NA,NHLattice,VS-WF+All5-10,1.00000,1.00000,1.00000,1.00000,2.00000
NA,NHLattice,VS-WF+All5-100,1.00000,1.00000,1.00000,1.00000,2.00000
NA,NHLattice,VS-WF+All5-101,1.00000,1.00000,2.00000,1.00000,1.00000
NA,NHLattice,VS-WF+All5-102,1.00000,2.00000,1.00000,1.00000,1.00000
NA,NHLattice,VS-WF+All5-103,1.00000,3.00000,3.00000,2.00000,4.00000
NA,NHLattice,VS-WF+All5-104,1.00000,1.00000,1.00000,2.00000,2.00000
NA,NHLattice,VS-WF+All5-105,1.00000,5.00000,1.00000,4.00000,2.00000
NA,NHLattice,VS-WF+All5-106,1.00000,1.00000,1.00000,2.00000,2.00000
NA,NHLattice,VS-WF+All5-107,5.00000,1.00000,1.00000,4.00000,2.00000
NA,NHLattice,VS-WF+All5-108,1.00000,4.00000,3.00000,2.00000,3.00000
NA,NHLattice,VS-WF+All5-109,1.00000,2.00000,3.00000,4.00000,3.00000
NA,NHLattice,VS-WF+All5-11,1.00000,4.00000,4.00000,5.00000,2.00000
NA,NHLattice,VS-WF+All5-110,1.00000,4.00000,2.00000,1.00000,5.00000
NA,NHLattice,VS-WF+All5-111,1.00000,2.00000,3.00000,3.00000,4.00000
NA,NHLattice,VS-WF+All5-112,5.00000,1.00000,2.00000,1.00000,4.00000
NA,NHLattice,VS-WF+All5-113,1.00000,1.00000,1.00000,1.00000,2.00000
NA,NHLattice,VS-WF+All5-114,1.00000,5.00000,2.00000,1.00000,4.00000
NA,NHLattice,VS-WF+All5-115,1.00000,4.00000,1.00000,5.00000,2.00000
NA,NHLattice,VS-WF+All5-116,1.00000,2.00000,3.00000,3.00000,4.00000
NA,NHLattice,VS-WF+All5-117,1.00000,4.00000,3.00000,3.00000,2.00000
NA,NHLattice,VS-WF+All5-118,1.00000,2.00000,1.00000,1.00000,2.00000
NA,NHLattice,VS-WF+All5-119,1.00000,2.00000,1.00000,1.00000,1.00000
NA,NHLattice,VS-WF+All5-12,1.00000,4.00000,1.00000,2.00000,5.00000
NA,NHLattice,VS-WF+All5-120,1.00000,2.00000,1.00000,2.00000,2.00000
NA,NHLattice,VS-WF+All5-121,1.00000,1.00000,2.00000,2.00000,2.00000
NA,NHLattice,VS-WF+All5-122,1.00000,1.00000,2.00000,1.00000,2.00000
NA,NHLattice,VS-WF+All5-123,1.00000,6.00000,1.00000,2.00000,4.00000
NA,NHLattice,VS-WF+All5-124,1.00000,2.00000,1.00000,2.00000,2.00000
NA,NHLattice,VS-WF+All5-125,1.00000,1.00000,2.00000,2.00000,2.00000
NA,NHLattice,VS-WF+All5-126,1.00000,1.00000,1.00000,2.00000,2.00000
NA,NHLattice,VS-WF+All5-127,1.00000,1.00000,2.00000,2.00000,2.00000
NA,NHLattice,VS-WF+All5-128,1.00000,5.00000,2.00000,4.00000,4.00000
NA,NHLattice,VS-WF+All5-129,1.00000,5.00000,2.00000,1.00000,4.00000
NA,NHLattice,VS-WF+All5-13,1.00000,4.00000,2.00000,1.00000,5.00000
NA,NHLattice,VS-WF+All5-130,1.00000,2.00000,3.00000,4.00000,3.00000
