Task,Run,Result,Domain to logic transformation time,Logic to solver transformation time,Solver time,Postprocessing time,Solution0FoundAt,Solution1DetailedStatistics,ExplorationInitializationTime,TransformationExecutionTime,ScopePropagationTime,MustRelationPropagationTime,TypeAnalysisTime,StateCoderTime,StateCoderFailCount,SolutionCopyTime,States,ForwardTime,BacktrackingTime,GlobalConstraintEvaluationTime,FitnessCalculationTime,ActivationSelectionTime,Decisions,MetricCalculationTime,Transformations,ScopePropagations,ScopePropagationsSolverCalls
1,47,ModelResultImpl,997,1914,155,13,150,(TransformationExecutionTime4|ForwardTime:78|Backtrackingtime:4|GlobalConstraintEvaluationTime:11|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),27,4,0,0,0,15,0,1,85,78,9,11,6,0,84,0,84,30,0
1,48,ModelResultImpl,997,1223,134,10,129,(TransformationExecutionTime3|ForwardTime:61|Backtrackingtime:2|GlobalConstraintEvaluationTime:8|FitnessCalculationTime:8|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),31,3,0,0,0,10,0,1,72,61,7,8,8,0,74,0,74,33,0
1,49,ModelResultImpl,997,1097,91,10,87,(TransformationExecutionTime2|ForwardTime:47|Backtrackingtime:1|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),15,2,0,0,0,7,0,0,73,47,5,6,4,0,72,0,72,30,0
1,50,ModelResultImpl,997,1085,95,10,91,(TransformationExecutionTime2|ForwardTime:46|Backtrackingtime:2|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),19,2,0,0,0,8,0,0,76,46,5,6,3,0,75,0,75,30,0
1,51,ModelResultImpl,997,1095,136,9,132,(TransformationExecutionTime4|ForwardTime:72|Backtrackingtime:8|GlobalConstraintEvaluationTime:5|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),17,4,0,0,0,17,0,0,116,72,12,5,3,0,115,0,115,30,0
1,52,ModelResultImpl,997,1105,122,12,115,(TransformationExecutionTime3|ForwardTime:65|Backtrackingtime:6|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:3|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),17,3,0,0,0,12,0,0,107,65,14,4,3,0,106,0,106,30,0
1,53,ModelResultImpl,997,2485,468,34,447,(TransformationExecutionTime13|ForwardTime:237|Backtrackingtime:20|GlobalConstraintEvaluationTime:26|FitnessCalculationTime:20|ActivationSelectionTime:0|SolutionCopyTime:4|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),72,13,1,0,0,48,0,4,109,237,41,26,20,0,108,0,108,30,0
1,54,ModelResultImpl,997,1439,145,11,139,(TransformationExecutionTime4|ForwardTime:77|Backtrackingtime:5|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:6|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),21,4,0,0,0,15,0,1,94,77,11,6,6,0,94,0,94,31,0
1,55,ModelResultImpl,997,1296,204,16,196,(TransformationExecutionTime5|ForwardTime:106|Backtrackingtime:4|GlobalConstraintEvaluationTime:11|FitnessCalculationTime:11|ActivationSelectionTime:0|SolutionCopyTime:2|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),30,5,0,0,0,20,0,2,88,106,12,11,11,0,87,0,87,30,0
1,56,ModelResultImpl,997,1116,162,22,156,(TransformationExecutionTime6|ForwardTime:92|Backtrackingtime:6|GlobalConstraintEvaluationTime:6|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:1|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),19,6,0,0,0,17,0,1,76,92,11,6,4,0,75,0,75,30,0
1,57,ModelResultImpl,997,1207,141,9,136,(TransformationExecutionTime3|ForwardTime:77|Backtrackingtime:9|GlobalConstraintEvaluationTime:4|FitnessCalculationTime:4|ActivationSelectionTime:0|SolutionCopyTime:0|NumericalSolverSumTime:0|NumericalSolverProblemFormingTime:0|NumericalSolverSolvingTime:0|NumericalSolverInterpretingSolution:0),16,3,0,0,0,19,0,0,121,77,13,4,4,0,121,0,121,31,0
